index,temp,rain
4/18/2022 0:00,33.69,4.1
4/18/2022 0:05,33.42,4.7
4/18/2022 0:10,33,4.7
4/18/2022 0:15,32.57,4.7
4/18/2022 0:20,33.38,4.7
4/18/2022 0:25,33.11,4.7
4/18/2022 0:30,33.38,4.7
4/18/2022 0:35,34.04,4.7
4/18/2022 0:40,33.31,7.1
4/18/2022 0:45,32.15,7.6
4/18/2022 0:50,32.73,4.7
4/18/2022 0:55,32.77,8.2
4/18/2022 1:00,31.72,22.4
4/18/2022 1:05,31.03,28.2
4/18/2022 1:10,32.88,5.9
4/18/2022 1:15,32.46,7.1
4/18/2022 1:20,31.18,30.6
4/18/2022 1:25,31.96,6.5
4/18/2022 1:30,32.11,6.5
4/18/2022 1:35,31.69,5.9
4/18/2022 1:40,32.11,5.9
4/18/2022 1:45,32.3,5.9
4/18/2022 1:50,31.92,8.2
4/18/2022 1:55,31.57,9.4
4/18/2022 2:00,31.11,7.1
4/18/2022 2:05,31.38,7.1
4/18/2022 2:10,31.84,6.5
4/18/2022 2:15,31.57,7.1
4/18/2022 2:20,31.42,6.5
4/18/2022 2:25,30.8,5.3
4/18/2022 2:30,30.45,7.1
4/18/2022 2:35,30.22,7.1
4/18/2022 2:40,30.1,8.2
4/18/2022 2:45,30.37,7.6
4/18/2022 2:50,30.37,8.2
4/18/2022 2:55,30.18,10.6
4/18/2022 3:00,30.26,7.6
4/18/2022 3:05,30.37,7.6
4/18/2022 3:10,31.18,6.5
4/18/2022 3:15,31.49,5.3
4/18/2022 3:20,31.8,7.1
4/18/2022 3:25,31.57,7.1
4/18/2022 3:30,31.57,7.6
4/18/2022 3:35,31.42,7.1
4/18/2022 3:40,31.11,8.2
4/18/2022 3:45,31.18,8.2
4/18/2022 3:50,31.07,9.4
4/18/2022 3:55,30.53,33.5
4/18/2022 4:00,30.99,10.6
4/18/2022 4:05,30.76,21.2
4/18/2022 4:10,30.33,50.6
4/18/2022 4:15,30.57,9.4
4/18/2022 4:20,30.8,10
