index,rain,temp
5/1/2022 0:00,4.1,53.89
5/1/2022 0:05,4.1,53.23
5/1/2022 0:10,3.5,52.92
5/1/2022 0:15,3.5,52.3
5/1/2022 0:20,4.1,52.23
5/1/2022 0:25,3.5,51.57
5/1/2022 0:30,3.5,50.95
5/1/2022 0:35,3.5,50.33
5/1/2022 0:40,3.5,51.22
5/1/2022 0:45,3.5,51.15
5/1/2022 0:50,3.5,51.38
5/1/2022 0:55,4.1,50.72
5/1/2022 1:00,3.5,51.45
5/1/2022 1:05,3.5,51.42
5/1/2022 1:10,4.1,50.8
5/1/2022 1:15,3.5,50.49
5/1/2022 1:20,3.5,49.95
5/1/2022 1:25,3.5,49.83
5/1/2022 1:30,3.5,49.68
5/1/2022 1:35,3.5,49.41
5/1/2022 1:40,3.5,49.64
5/1/2022 1:45,3.5,49.41
5/1/2022 1:50,3.5,49.45
5/1/2022 1:55,4.1,49.41
5/1/2022 2:00,3.5,49.49
5/1/2022 2:05,3.5,48.98
5/1/2022 2:10,4.1,48.67
5/1/2022 2:15,3.5,48.29
5/1/2022 2:20,3.5,47.94
5/1/2022 2:25,3.5,48.06
5/1/2022 2:30,3.5,47.9
5/1/2022 2:35,3.5,48.1
5/1/2022 2:40,4.1,47.75
5/1/2022 2:45,4.1,47.67
5/1/2022 2:50,3.5,47.09
5/1/2022 2:55,3.5,46.67
5/1/2022 3:00,3.5,45.97
5/1/2022 3:05,3.5,45.39
5/1/2022 3:10,3.5,45.55
5/1/2022 3:15,3.5,45.62
5/1/2022 3:20,3.5,45.08
5/1/2022 3:25,3.5,45.08
5/1/2022 3:30,3.5,45.39
5/1/2022 3:35,3.5,45.2
5/1/2022 3:40,3.5,44.78
5/1/2022 3:45,3.5,45.28
5/1/2022 3:50,3.5,45.86
5/1/2022 3:55,3.5,45.39
5/1/2022 4:00,3.5,45.01
5/1/2022 4:05,3.5,45.08
5/1/2022 4:10,3.5,44.93
5/1/2022 4:15,3.5,44.74
5/1/2022 4:20,3.5,44.66
5/1/2022 4:25,3.5,44.43
5/1/2022 4:30,3.5,43.85
5/1/2022 4:35,3.5,43.5
5/1/2022 4:40,3.5,43
5/1/2022 4:45,3.5,43.62
5/1/2022 4:50,3.5,44.23
5/1/2022 4:55,3.5,44.08
5/1/2022 5:00,3.5,43.46
5/1/2022 5:05,3.5,43.58
5/1/2022 5:10,4.1,44.16
5/1/2022 5:15,3.5,44.62
5/1/2022 5:20,4.1,45.12
5/1/2022 5:25,3.5,45.08
5/1/2022 5:30,4.1,44.7
5/1/2022 5:35,4.1,44.43
5/1/2022 5:40,4.1,44.39
5/1/2022 5:45,3.5,44.35
