1h_RF,Tem
65.3,64.31
27.1,64.12
11.8,63.96
20,63.62
10,63.11
5,62.81
5,62.61
5,62.34
31.8,62.07
14.1,61.76
14.1,61.45
15.3,60.95
16.5,60.57
17.6,60.14
20,59.83
22.4,59.33
23.5,58.98
21.8,58.67
21.8,58.44
20.6,58.21
20.6,58.06
20.6,57.86
18.8,57.67
18.2,57.48
19.4,57.4
20.6,57.21
19.4,57.01
21.2,56.9
21.8,56.9
22.4,56.82
18.8,56.74
20.6,56.67
18.8,56.55
19.4,56.47
16.5,56.47
15.9,56.44
15.3,56.51
15.3,56.63
14.1,56.71
13.5,56.71
13.5,56.74
13.5,56.82
12.9,56.78
12.9,56.82
12.4,56.78
12.4,56.86
12.4,56.94
11.8,56.9
11.8,56.94
11.8,57.17
11.8,57.13
11.8,57.17
11.8,57.13
11.8,57.25
11.8,57.13
11.8,57.05
11.8,57.01
11.8,56.9
11.8,56.9
11.8,56.9
11.2,56.78
11.2,56.71
11.2,56.74
11.2,56.63
11.2,56.67
11.2,56.55
11.2,56.55
11.2,56.51
11.8,56.63
11.2,56.47
11.2,56.51
11.2,56.47
11.8,56.32
11.8,56.36
11.2,56.24
11.8,56.32
11.8,56.28
11.8,56.24
12.4,56.2
11.8,56.09
11.8,56.13
11.8,56.01
11.8,56.05
11.8,56.05
11.8,56.09
11.8,56.09
11.2,56.01
11.8,56.09
11.2,56.05
11.8,56.17
11.2,56.13
11.2,56.05
11.8,56.09
11.2,56.09
11.2,56.09
11.2,56.05
11.2,56.09
11.2,56.13
11.2,56.01
11.2,56.09
11.8,56.13
11.8,56.17
11.8,56.01
11.8,55.97
11.2,55.89
11.8,55.86
11.8,55.78
11.2,55.74
11.8,55.7
11.8,55.7
11.2,55.7
11.2,55.62
11.2,55.62
11.2,55.62
11.2,55.74
11.8,55.7
11.2,55.7
11.2,55.78
11.8,55.66
11.2,55.7
11.2,55.82
11.2,55.74
11.2,55.86
11.2,55.86
11.2,56.01
11.2,56.01
10.6,56.01
10.6,56.05
10,56.28
10,56.44
10,56.63
10,56.63
9.4,56.71
10,56.82
10,56.94
9.4,57.05
8.8,57.28
8.2,57.48
8.8,57.56
8.2,57.67
8.2,57.36
8.2,57.59
8.2,57.9
7.6,57.86
7.6,57.71
7.6,57.67
7.6,57.67
7.6,57.59
7.6,57.9
7.6,57.75
7.6,57.56
7.6,57.63
7.6,58.06
7.6,58.29
7.1,58.64
7.1,58.71
7.1,58.91
7.1,58.71
7.1,59.29
7.1,59.95
7.1,60.18
7.1,59.52
7.1,59.56
6.5,59.6
7.1,58.98
6.5,59.99
7.1,60.18
6.5,60.22
6.5,59.95
6.5,60.8
6.5,61.69
6.5,61.49
6.5,62.77
6.5,62.38
6.5,62.19
6.5,61.88
6.5,61.3
6.5,61.38
6.5,61.72
6.5,62.34
6.5,62.23
6.5,62.42
6.5,62
6.5,62.03
6.5,62.5
6.5,62.42
6.5,63
5.9,61.72
6.5,61.22
6.5,61.92
6.5,62.73
6.5,63.08
6.5,62.61
6.5,62.61
6.5,63.04
6.5,63
6.5,63.11
6.5,62.3
6.5,61.92
6.5,62.92
6.5,63.27
6.5,63.15
6.5,63
6.5,63.19
6.5,62.88
6.5,62.3
8.8,62.07
14.1,62.34
11.2,62.65
27.6,62.57
7.6,62.15
7.6,62.27
11.8,62.19
78.8,61.88
11.8,61.92
15.9,62.5
15.9,62.54
5,62.81
5,62.73
5,63
5,63.11
5,63.66
5,63.58
5,63.35
5,63.46
73.5,64.43
68.2,62.96
9.4,62.3
8.2,62.42
7.6,63.08
7.6,63.08
7.6,63.58
7.1,63.69
7.6,63.11
7.1,63.58
7.1,63.31
7.1,63.23
7.1,62.81
7.1,62.61
7.1,62.54
7.1,62.34
7.1,62.46
7.1,62.5
7.1,62.77
7.1,62.77
7.1,62.73
6.5,62.5
7.1,62.84
7.1,62.3
7.1,62.23
6.5,62.42
7.1,63.04
7.1,63.81
6.5,63.69
6.5,63.42
6.5,62.57
6.5,62.03
6.5,61.76
6.5,61.76
6.5,61.61
6.5,61.65
6.5,61.53
6.5,61.49
6.5,61.42
6.5,61.3
6.5,61.15
6.5,60.84
6.5,60.76
6.5,60.61
6.5,60.41
6.5,60.34
6.5,60.22
6.5,60.14
6.5,60.14
6.5,59.99
6.5,59.83
6.5,59.79
6.5,59.76
6.5,59.56
6.5,59.49
6.5,59.41
6.5,59.22
6.5,59.22
6.5,59.18
6.5,59.22
11.8,59.06
10.6,59.02
7.1,58.95
7.1,58.87
7.1,58.6
6.5,58.48
7.1,58.37
7.1,58.48
6.5,58.37
6.5,58.37
6.5,58.33
6.5,58.29
6.5,58.25
6.5,58.13
6.5,58.02
6.5,57.86
6.5,57.71
6.5,57.63
6.5,57.56
6.5,57.44
6.5,57.13
6.5,57.01
6.5,57.01
9.4,56.9
37.6,56.67
15.9,56.28
10,55.86
75.3,55.55
20,55.16
7.6,54.89
7.1,54.7
9.4,54.62
15.3,54.47
7.6,54.23
7.6,53.96
14.7,53.85
80.6,53.77
35.9,53.69
8.2,53.62
8.2,53.42
8.2,53.31
8.2,53.27
8.2,53.15
8.2,53.11
8.8,53
8.8,52.92
8.8,52.92
8.8,52.92
8.8,53
9.4,53.04
9.4,53
9.4,53.04
9.4,53
9.4,52.96
9.4,53
9.4,52.88
10,53
10,53
10,52.96
10,53
52.9,53.11
5,53.04
5,53.08
95.3,53.11
91,53.08
93,53.19
100,53.08
100,53.15
100,53.19
100,53.15
100,53.23
100,53.19
100,53.31
100,53.27
100,53.23
98,53.15
38.2,53.23
37.1,53.39
40.6,53.46
41.8,53.5
41.2,53.54
44.1,53.62
44.7,53.73
50.6,53.85
60.6,53.89
61.8,53.89
61.8,53.89
61.8,53.89
63.5,53.96
67.6,53.93
68.2,53.89
70,54.04
69.4,54
68.2,54.04
67.6,54.08
70,54.12
70,54.12
71.8,54.16
70.6,54.12
73.5,54.16
74.1,54.16
75.9,54.23
98,54.23
100,54.23
100,54.43
100,54.5
100,54.43
100,54.54
100,54.58
100,54.58
100,54.62
100,54.62
100,54.62
100,54.58
100,54.54
100,54.5
100,54.62
100,54.62
100,54.62
100,54.7
100,54.66
100,54.74
100,54.81
100,54.93
100,54.93
100,54.97
100,55.01
100,55.16
100,55.39
100,55.51
100,55.62
100,55.82
100,55.51
100,55.59
94.1,56.01
97,56.24
27.6,56.4
52.4,56.32
22.4,56.47
28.8,56.44
30,56.36
31.8,56.71
49.4,56.55
52.4,56.63
66,56.32
77.6,56.36
40.6,56.67
16.5,57.59
13.5,57.83
12.9,57.52
12.4,58.25
11.8,58.25
11.2,58.37
11.2,58.48
11.2,58.25
11.2,58.17
11.2,58.64
10.6,58.91
10.6,58.75
11.2,58.52
11.2,58.56
10.6,59.18
10,59.56
10,59.83
10.6,59.56
10.6,59.64
10.6,59.56
10,60.14
9.4,60.41
8.8,61.3
8.8,61.72
8.8,61.26
8.2,61.96
8.8,62.23
8.2,62.77
8.2,63.5
8.8,62.11
8.8,61.8
8.2,63.39
7.6,64.04
7.6,64.39
7.6,64.47
7.6,65.32
7.6,66.51
7.6,67.52
7.6,68.17
7.6,67.56
7.6,66.9
7.6,67.09
7.6,67.86
7.6,68.44
7.6,68.52
7.6,67.44
7.1,66.67
7.6,70.06
7.6,71.61
7.6,71.18
7.6,71.11
7.6,70.95
7.1,69.72
7.1,71.26
7.1,70.99
7.1,70.88
7.1,71.22
7.1,72.5
7.1,71.26
7.1,72.34
7.1,72.07
7.1,71.92
7.1,71.18
7.1,71.11
7.1,70.76
7.1,71.11
7.1,71.26
7.1,71.03
