index,rain,temp,,,,,,,
6/1/2022 0:00,65.3,64.31,,,,,,,
6/1/2022 0:05,27.1,64.12,,,,,,,
6/1/2022 0:10,11.8,63.96,,,,,,,
6/1/2022 0:15,20,63.62,,,,,,,
6/1/2022 0:20,10,63.11,,,,,,,
6/1/2022 0:25,5,62.81,,,,,,,
6/1/2022 0:30,5,62.61,,,,,,,
6/1/2022 0:35,5,62.34,,,,,,,
6/1/2022 0:40,31.8,62.07,,,,,,,
6/1/2022 0:45,14.1,61.76,,,,,,,
6/1/2022 0:50,14.1,61.45,,,,,,,
6/1/2022 0:55,15.3,60.95,,,,,,,
6/1/2022 1:00,16.5,60.57,,,,,,,
6/1/2022 1:05,17.6,60.14,,,,,,,
6/1/2022 1:10,20,59.83,,,,,,,
6/1/2022 1:15,22.4,59.33,,,,,,,
6/1/2022 1:20,23.5,58.98,,,,,,,
6/1/2022 1:25,21.8,58.67,,,,,,,
6/1/2022 1:30,21.8,58.44,,,,,,,
6/1/2022 1:35,20.6,58.21,,,,,,,
6/1/2022 1:40,20.6,58.06,,,,,,,
6/1/2022 1:45,20.6,57.86,,,,,,,
6/1/2022 1:50,18.8,57.67,,,,,,,
6/1/2022 1:55,18.2,57.48,,,,,,,
6/1/2022 2:00,19.4,57.4,,,,,,,
6/1/2022 2:05,20.6,57.21,,,,,,,
6/1/2022 2:10,19.4,57.01,,,,,,,
6/1/2022 2:15,21.2,56.9,,,,,,,
6/1/2022 2:20,21.8,56.9,,,,,,,
6/1/2022 2:25,22.4,56.82,,,,,,,
6/1/2022 2:30,18.8,56.74,,,,,,,
6/1/2022 2:35,20.6,56.67,,,,,,,
6/1/2022 2:40,18.8,56.55,,,,,,,
6/1/2022 2:45,19.4,56.47,,,,,,,
6/1/2022 2:50,16.5,56.47,,,,,,,
6/1/2022 2:55,15.9,56.44,,,,,,,
6/1/2022 3:00,15.3,56.51,,,,,,,
6/1/2022 3:05,15.3,56.63,,,,,,,
6/1/2022 3:10,14.1,56.71,,,,,,,
6/1/2022 3:15,13.5,56.71,,,,,,,
6/1/2022 3:20,13.5,56.74,,,,,,,
6/1/2022 3:25,13.5,56.82,,,,,,,
6/1/2022 3:30,12.9,56.78,,,,,,,
6/1/2022 3:35,12.9,56.82,,,,,,,
6/1/2022 3:40,12.4,56.78,,,,,,,
6/1/2022 3:45,12.4,56.86,,,,,,,
6/1/2022 3:50,12.4,56.94,,,,,,,
6/1/2022 3:55,11.8,56.9,,,,,,,
6/1/2022 4:00,11.8,56.94,,,,,,,
6/1/2022 4:05,11.8,57.17,,,,,,,
6/1/2022 4:10,11.8,57.13,,,,,,,
6/1/2022 4:15,11.8,57.17,,,,,,,
6/1/2022 4:20,11.8,57.13,,,,,,,
6/1/2022 4:25,11.8,57.25,,,,,,,
6/1/2022 4:30,11.8,57.13,,,,,,,
6/1/2022 4:35,11.8,57.05,,,,,,,
6/1/2022 4:40,11.8,57.01,,,,,,,
6/1/2022 4:45,11.8,56.9,,,,,,,
6/1/2022 4:50,11.8,56.9,,,,,,,
6/1/2022 4:55,11.8,56.9,,,,,,,
6/1/2022 5:00,11.2,56.78,,,,,,,
6/1/2022 5:05,11.2,56.71,,,,,,,
6/1/2022 5:10,11.2,56.74,,,,,,,
6/1/2022 5:15,11.2,56.63,,,,,,,
6/1/2022 5:20,11.2,56.67,,,,,,,
6/1/2022 5:25,11.2,56.55,,,,,,,
6/1/2022 5:30,11.2,56.55,,,,,,,
6/1/2022 5:35,11.2,56.51,,,,,,,
6/1/2022 5:40,11.8,56.63,,,,,,,
6/1/2022 5:45,11.2,56.47,,,,,,,
6/1/2022 5:50,11.2,56.51,,,,,,,
6/1/2022 5:55,11.2,56.47,,,,,,,
6/1/2022 6:00,11.8,56.32,,,,,,,
6/1/2022 6:05,11.8,56.36,,,,,,,
6/1/2022 6:10,11.2,56.24,,,,,,,
6/1/2022 6:15,11.8,56.32,,,,,,,
6/1/2022 6:20,11.8,56.28,,,,,,,
6/1/2022 6:25,11.8,56.24,,,,,,,
6/1/2022 6:30,12.4,56.2,,,,,,,
6/1/2022 6:35,11.8,56.09,,,,,,,
6/1/2022 6:40,11.8,56.13,,,,,,,
6/1/2022 6:45,11.8,56.01,,,,,,,
6/1/2022 6:50,11.8,56.05,,,,,,,
6/1/2022 6:55,11.8,56.05,,,,,,,
6/1/2022 7:00,11.8,56.09,,,,,,,
6/1/2022 7:05,11.8,56.09,,,,,,,
6/1/2022 7:10,11.2,56.01,,,,,,,
6/1/2022 7:15,11.8,56.09,,,,,,,
6/1/2022 7:20,11.2,56.05,,,,,,,
6/1/2022 7:25,11.8,56.17,,,,,,,
6/1/2022 7:30,11.2,56.13,,,,,,,
6/1/2022 7:35,11.2,56.05,,,,,,,
6/1/2022 7:40,11.8,56.09,,,,,,,
6/1/2022 7:45,11.2,56.09,,,,,,,
6/1/2022 7:50,11.2,56.09,,,,,,,
6/1/2022 7:55,11.2,56.05,,,,,,,
6/1/2022 8:00,11.2,56.09,,,,,,,
6/1/2022 8:05,11.2,56.13,,,,,,,
6/1/2022 8:10,11.2,56.01,,,,,,,
6/1/2022 8:15,11.2,56.09,,,,,,,
6/1/2022 8:20,11.8,56.13,,,,,,,
6/1/2022 8:25,11.8,56.17,,,,,,,
6/1/2022 8:30,11.8,56.01,,,,,,,
6/1/2022 8:35,11.8,55.97,,,,,,,
6/1/2022 8:40,11.2,55.89,,,,,,,
6/1/2022 8:45,11.8,55.86,,,,,,,
6/1/2022 8:50,11.8,55.78,,,,,,,
6/1/2022 8:55,11.2,55.74,,,,,,,
6/1/2022 9:00,11.8,55.7,,,,,,,
6/1/2022 9:05,11.8,55.7,,,,,,,
6/1/2022 9:10,11.2,55.7,,,,,,,
6/1/2022 9:15,11.2,55.62,,,,,,,
6/1/2022 9:20,11.2,55.62,,,,,,,
6/1/2022 9:25,11.2,55.62,,,,,,,
6/1/2022 9:30,11.2,55.74,,,,,,,
6/1/2022 9:35,11.8,55.7,,,,,,,
6/1/2022 9:40,11.2,55.7,,,,,,,
