index,temp,rain
4/18/2022 0:00,33.08,2.4
4/18/2022 0:05,32.54,2.9
4/18/2022 0:10,32.23,2.9
4/18/2022 0:15,32.5,2.9
4/18/2022 0:20,32.61,2.4
4/18/2022 0:25,32.69,2.9
4/18/2022 0:30,32.42,2.4
4/18/2022 0:35,33.08,2.9
4/18/2022 0:40,33.35,1.8
4/18/2022 0:45,32.65,3.5
4/18/2022 0:50,32.42,2.9
4/18/2022 0:55,32.96,2.9
4/18/2022 1:00,32.88,3.5
4/18/2022 1:05,32.3,4.7
4/18/2022 1:10,31.65,2.9
4/18/2022 1:15,32,4.1
4/18/2022 1:20,31.57,4.7
4/18/2022 1:25,31.26,3.5
4/18/2022 1:30,31.92,3.5
4/18/2022 1:35,31.3,3.5
4/18/2022 1:40,31.45,3.5
4/18/2022 1:45,30.95,3.5
4/18/2022 1:50,32.03,3.5
4/18/2022 1:55,31.65,4.7
4/18/2022 2:00,30.91,4.1
4/18/2022 2:05,30.88,3.5
4/18/2022 2:10,31.3,3.5
4/18/2022 2:15,31.07,4.1
4/18/2022 2:20,30.57,5.3
4/18/2022 2:25,30.22,10
4/18/2022 2:30,30.1,11.2
4/18/2022 2:35,30.1,5.3
4/18/2022 2:40,29.91,4.7
4/18/2022 2:45,29.6,4.1
4/18/2022 2:50,29.49,4.7
4/18/2022 2:55,29.45,9.4
4/18/2022 3:00,29.37,5.3
4/18/2022 3:05,29.45,4.7
4/18/2022 3:10,29.83,4.7
4/18/2022 3:15,29.83,4.1
4/18/2022 3:20,30.45,4.1
4/18/2022 3:25,30.26,4.7
4/18/2022 3:30,30.45,4.7
4/18/2022 3:35,30.61,5.3
4/18/2022 3:40,30.37,6.5
4/18/2022 3:45,30.22,7.6
4/18/2022 3:50,29.83,7.6
4/18/2022 3:55,29.6,15.9
4/18/2022 4:00,29.79,10.6
4/18/2022 4:05,29.99,14.1
4/18/2022 4:10,29.6,32.4
4/18/2022 4:15,29.49,16.5
4/18/2022 4:20,30.3,7.6
4/18/2022 4:25,30.26,5.9
4/18/2022 4:30,30.18,10
4/18/2022 4:35,29.83,5.3
4/18/2022 4:40,29.83,5.3
4/18/2022 4:45,29.83,5.9
4/18/2022 4:50,29.72,7.1
4/18/2022 4:55,29.22,7.1
4/18/2022 5:00,29.29,7.6
4/18/2022 5:05,28.94,6.5
4/18/2022 5:10,29.18,5.3
4/18/2022 5:15,29.45,5.3
4/18/2022 5:20,30.18,5.3
4/18/2022 5:25,29.45,5.3
4/18/2022 5:30,29.14,21.8
4/18/2022 5:35,28.37,78.8
4/18/2022 5:40,28.02,100
4/18/2022 5:45,27.52,83.5
4/18/2022 5:50,27.86,40
4/18/2022 5:55,28.17,21.2
4/18/2022 6:00,27.98,8.8
4/18/2022 6:05,28.02,8.8
4/18/2022 6:10,28.37,8.8
4/18/2022 6:15,28.33,6.5
4/18/2022 6:20,28.83,5.9
4/18/2022 6:25,28.33,7.1
4/18/2022 6:30,28.17,7.1
4/18/2022 6:35,28.67,5.9
4/18/2022 6:40,28.75,5.9
4/18/2022 6:45,29.22,5.3
4/18/2022 6:50,29.49,5.3
4/18/2022 6:55,29.76,4.7
4/18/2022 7:00,30.53,4.7
4/18/2022 7:05,31.18,4.1
4/18/2022 7:10,31.65,4.1
4/18/2022 7:15,32.07,4.1
4/18/2022 7:20,32.57,3.5
4/18/2022 7:25,32.88,3.5
4/18/2022 7:30,33.66,3.5
4/18/2022 7:35,34.16,3.5
4/18/2022 7:40,34.89,3.5
4/18/2022 7:45,35.24,3.5
4/18/2022 7:50,35.24,2.9
4/18/2022 7:55,35.7,2.9
4/18/2022 8:00,36.28,2.9
4/18/2022 8:05,36.55,2.9
4/18/2022 8:10,37.36,2.9
4/18/2022 8:15,37.44,2.9
4/18/2022 8:20,37.75,2.9
4/18/2022 8:25,38.6,2.9
4/18/2022 8:30,38.83,2.4
4/18/2022 8:35,39.72,2.9
