index,temp,rain
4/18/2022 0:00,34.71,2.4
4/18/2022 0:05,34.61,2.4
4/18/2022 0:10,34.47,2.4
4/18/2022 0:15,34.47,2.4
4/18/2022 0:20,34.86,2.4
4/18/2022 0:25,34.81,2.4
4/18/2022 0:30,34.57,2.4
4/18/2022 0:35,34.76,2.4
4/18/2022 0:40,34.47,2.9
4/18/2022 0:45,34.27,2.4
4/18/2022 0:50,34.47,2.4
4/18/2022 0:55,33.78,2.9
4/18/2022 1:00,33.29,2.9
4/18/2022 1:05,33.44,2.9
4/18/2022 1:10,33.53,2.9
4/18/2022 1:15,33.29,3.5
4/18/2022 1:20,33.04,3.5
4/18/2022 1:25,32.94,3.5
4/18/2022 1:30,32.59,3.5
4/18/2022 1:35,31.94,5.3
4/18/2022 1:40,32.09,4.1
4/18/2022 1:45,31.89,4.1
4/18/2022 1:50,32.09,3.5
4/18/2022 1:55,32.24,2.9
4/18/2022 2:00,33.19,2.9
4/18/2022 2:05,33.58,2.9
4/18/2022 2:10,33.29,2.9
4/18/2022 2:15,32.94,3.5
4/18/2022 2:20,32.99,2.9
4/18/2022 2:25,31.74,3.5
4/18/2022 2:30,31.39,4.1
4/18/2022 2:35,31.54,3.5
4/18/2022 2:40,31.09,4.7
4/18/2022 2:45,30.17,18.8
4/18/2022 2:50,29.71,51.8
4/18/2022 2:55,30.33,14.7
4/18/2022 3:00,31.29,4.1
4/18/2022 3:05,30.94,4.7
4/18/2022 3:10,31.59,4.1
4/18/2022 3:15,31.59,4.1
4/18/2022 3:20,31.74,4.7
4/18/2022 3:25,31.29,5.9
4/18/2022 3:30,31.39,5.3
4/18/2022 3:35,31.24,6.5
4/18/2022 3:40,31.19,7.1
4/18/2022 3:45,30.88,16.5
4/18/2022 3:50,30.83,30.6
4/18/2022 3:55,31.39,11.8
4/18/2022 4:00,31.14,15.9
4/18/2022 4:05,30.38,68.8
4/18/2022 4:10,30.33,72.4
4/18/2022 4:15,30.43,62.4
4/18/2022 4:20,30.83,11.8
4/18/2022 4:25,30.73,5.9
4/18/2022 4:30,30.83,5.3
4/18/2022 4:35,30.99,5.3
4/18/2022 4:40,31.04,6.5
4/18/2022 4:45,30.99,6.5
