index,rain,temp
4/18/2022 0:00,1.35,34.707
4/18/2022 1:00,1.8,33.103
4/18/2022 2:00,1.8,32.423
4/18/2022 3:00,2.6,31.319
4/18/2022 4:00,3.658333,31.044
4/18/2022 5:00,5.95,30.812
4/18/2022 6:00,3,30.832
4/18/2022 7:00,2.733333,31.659
4/18/2022 8:00,2.2,38.267
4/18/2022 9:00,1.8,43.218
4/18/2022 10:00,1.8,47.416
4/18/2022 11:00,1.8,51.67
4/18/2022 12:00,1.8,54.857
4/18/2022 13:00,1.8,56.843
4/18/2022 14:00,1.4,56.836
4/18/2022 15:00,1.35,57.052
4/18/2022 16:00,1.2,54.385
4/18/2022 17:00,1.2,51.192
4/18/2022 18:00,1,47.756
4/18/2022 19:00,1,45.523
4/18/2022 20:00,1.05,44.247
4/18/2022 21:00,0.9,43.178
4/18/2022 22:00,1.1,42.324
4/18/2022 23:00,1.2,42.245
4/19/2022 0:00,1.2,42.056
4/19/2022 1:00,45.058333,41.141
4/19/2022 2:00,100,38.519
4/19/2022 3:00,100,39.597
4/19/2022 4:00,100,40.155
4/19/2022 5:00,100,40.678
4/19/2022 6:00,100,42.587
4/19/2022 7:00,100,44.702
4/19/2022 8:00,100,46.973
4/19/2022 9:00,81.958333,49.276
4/19/2022 10:00,94.508333,46.302
4/19/2022 11:00,38.966667,43.514
4/19/2022 12:00,4.15,43.922
4/19/2022 13:00,13.4,44.705
4/19/2022 14:00,3.633333,43.795
4/19/2022 15:00,13.875,42.202
4/19/2022 16:00,2.4,42.876
4/19/2022 17:00,22.066667,41.038
4/19/2022 18:00,1.9,42.388
4/19/2022 19:00,1.8,41.133
4/19/2022 20:00,1.8,40.691
4/19/2022 21:00,1.8,40.434
4/19/2022 22:00,1.8,40.181
4/19/2022 23:00,1.8,39.006
4/20/2022 0:00,1.8,38.091
4/20/2022 1:00,1.8,37.455
4/20/2022 2:00,1.8,38.052
4/20/2022 3:00,1.8,38.552
4/20/2022 4:00,1.8,39.243
4/20/2022 5:00,1.8,39.419
4/20/2022 6:00,1.8,39.521
4/20/2022 7:00,1.8,39.612
4/20/2022 8:00,1.8,40.92
4/20/2022 9:00,1.8,43.574
4/20/2022 10:00,1.8,45.163
4/20/2022 11:00,1.8,46.754
4/20/2022 12:00,1.8,47.509
4/20/2022 13:00,1.8,49.153
4/20/2022 14:00,1.75,50.622
4/20/2022 15:00,1.7,52.493
4/20/2022 16:00,1.2,52.946
4/20/2022 17:00,1.25,52.56
4/20/2022 18:00,1.2,51.288
4/20/2022 19:00,0.95,47.607
4/20/2022 20:00,0.6,44.437
4/20/2022 21:00,0.6,42.252
4/20/2022 22:00,0.7,41.794
4/20/2022 23:00,0.75,40.915
4/21/2022 0:00,0.65,39.974
4/21/2022 1:00,0.85,39.593
4/21/2022 2:00,1,37.957
4/21/2022 3:00,1.2,36.544
4/21/2022 4:00,1.45,34.111
4/21/2022 5:00,63.191667,32.357
4/21/2022 6:00,3.55,33.718
4/21/2022 7:00,2.433333,38.82
4/21/2022 8:00,1.8,44.322
4/21/2022 9:00,1.8,49.546
4/21/2022 10:00,1.8,53.582
4/21/2022 11:00,1.8,56.084
4/21/2022 12:00,1.8,57.628
4/21/2022 13:00,1.8,58.002
4/21/2022 14:00,1.75,57.387
4/21/2022 15:00,1.4,56.258
4/21/2022 16:00,1.2,54.447
4/21/2022 17:00,1.2,53.402
4/21/2022 18:00,1.2,52.166
4/21/2022 19:00,1.2,50.761
4/21/2022 20:00,1.35,49.119
4/21/2022 21:00,1.75,48.576
4/21/2022 22:00,1.8,47.669
4/21/2022 23:00,2.25,46.433
4/22/2022 0:00,2.441667,45.662
4/22/2022 1:00,2.858333,45.02
4/22/2022 2:00,2.9,44.556
4/22/2022 3:00,3.15,44.624
4/22/2022 4:00,3.65,44.138
4/22/2022 5:00,28.866667,44.247
4/22/2022 6:00,79.316667,44.419
4/22/2022 7:00,22,46.839
4/22/2022 8:00,3,53.091
4/22/2022 9:00,2.05,55.773
4/22/2022 10:00,1.8,55.536
4/22/2022 11:00,1.8,55.805
4/22/2022 12:00,1.8,57.052
4/22/2022 13:00,1.8,58.113
4/22/2022 14:00,1.8,59.169
4/22/2022 15:00,1.8,59.966
4/22/2022 16:00,1.75,60.044
4/22/2022 17:00,1.75,59.267
4/22/2022 18:00,1.35,57.901
4/22/2022 19:00,1.2,54.627
4/22/2022 20:00,1.15,51.258
4/22/2022 21:00,0.9,49.009
4/22/2022 22:00,0.7,46.79
4/22/2022 23:00,0.65,45.645
4/23/2022 0:00,0.65,44.203
4/23/2022 1:00,0.75,42.937
4/23/2022 2:00,0.9,41.838
4/23/2022 3:00,1.1,40.361
4/23/2022 4:00,1.2,39.237
4/23/2022 5:00,1.2,38.574
4/23/2022 6:00,1.2,38.872
4/23/2022 7:00,1.2,42.352
4/23/2022 8:00,1.2,45.795
4/23/2022 9:00,1.3,48.932
4/23/2022 10:00,1.75,52.855
4/23/2022 11:00,1.8,55.277
4/23/2022 12:00,1.8,57.748
4/23/2022 13:00,1.8,60.413
4/23/2022 14:00,1.65,61.2
4/23/2022 15:00,1.45,60.767
4/23/2022 16:00,1.25,61.15
4/23/2022 17:00,1.2,60.897
4/23/2022 18:00,1.2,57.784
4/23/2022 19:00,1.05,55.176
4/23/2022 20:00,1.05,53.922
4/23/2022 21:00,1.1,52.842
4/23/2022 22:00,1.05,51.572
4/23/2022 23:00,8.3,51.332
4/24/2022 0:00,25.8,49.956
