index,rain,temp
4/18/2022 0:00,2.733333,32.710833
4/18/2022 1:00,3.8,31.746667
4/18/2022 2:00,5.825,30.3
4/18/2022 3:00,6.266667,30.0225
4/18/2022 4:00,10.65,29.836667
4/18/2022 5:00,31.716667,28.7975
4/18/2022 6:00,6.675,28.66
4/18/2022 7:00,3.65,33.314167
4/18/2022 8:00,2.816667,39.138333
4/18/2022 9:00,2.4,45.550833
4/18/2022 10:00,2.4,48.948333
4/18/2022 11:00,2.3,52.815833
4/18/2022 12:00,2.35,55.765833
4/18/2022 13:00,2.35,58.009167
4/18/2022 14:00,2,58.27
4/18/2022 15:00,1.8,58.316667
4/18/2022 16:00,1.8,55.2475
4/18/2022 17:00,1.8,52.226667
4/18/2022 18:00,1.75,48.325
4/18/2022 19:00,1.7,45.7875
4/18/2022 20:00,1.55,44.543333
4/18/2022 21:00,1.5,43.501667
4/18/2022 22:00,1.8,42.713333
4/18/2022 23:00,1.8,42.608333
4/19/2022 0:00,1.8,42.416667
4/19/2022 1:00,43.741667,41.635
4/19/2022 2:00,100,39.0675
4/19/2022 3:00,100,40.106667
4/19/2022 4:00,100,40.66
4/19/2022 5:00,100,41.1
4/19/2022 6:00,100,43.044167
4/19/2022 7:00,100,45.1575
4/19/2022 8:00,100,47.465
4/19/2022 9:00,100,50.064167
4/19/2022 10:00,100,47.213333
4/19/2022 11:00,31.958333,44.283333
4/19/2022 12:00,4.5,44.604167
4/19/2022 13:00,9.825,45.695833
4/19/2022 14:00,4.775,44.524167
4/19/2022 15:00,10.916667,42.889167
4/19/2022 16:00,2.866667,43.954167
4/19/2022 17:00,21.5,41.771667
4/19/2022 18:00,2.525,42.924167
4/19/2022 19:00,2.4,41.17
4/19/2022 20:00,2.4,40.343333
4/19/2022 21:00,2.483333,40.125
4/19/2022 22:00,2.4,40.266667
4/19/2022 23:00,2.4,38.995833
4/20/2022 0:00,2.4,37.889167
4/20/2022 1:00,2.4,37.253333
4/20/2022 2:00,2.4,37.988333
4/20/2022 3:00,2.483333,38.671667
4/20/2022 4:00,2.441667,39.389167
4/20/2022 5:00,2.4,39.610833
4/20/2022 6:00,2.441667,39.825
4/20/2022 7:00,2.4,40.1
4/20/2022 8:00,2.4,41.601667
4/20/2022 9:00,2.4,44.489167
4/20/2022 10:00,2.3,46.2425
4/20/2022 11:00,2.4,48.085
4/20/2022 12:00,2.35,48.8775
4/20/2022 13:00,2.2,50.421667
4/20/2022 14:00,2.15,51.61
4/20/2022 15:00,2,53.659167
4/20/2022 16:00,1.8,54.301667
4/20/2022 17:00,1.8,53.859167
4/20/2022 18:00,1.8,51.979167
4/20/2022 19:00,1.6,47.525833
4/20/2022 20:00,1.35,43.651667
4/20/2022 21:00,1.5,41.15
4/20/2022 22:00,1.6,39.518333
4/20/2022 23:00,1.75,39.244167
4/21/2022 0:00,1.8,36.855
4/21/2022 1:00,2.3,34.849167
4/21/2022 2:00,2.525,33.998333
4/21/2022 3:00,2.575,35.293333
4/21/2022 4:00,27.891667,31.290833
4/21/2022 5:00,100,30.689167
4/21/2022 6:00,35.741667,31.4
4/21/2022 7:00,3.5,37.665
4/21/2022 8:00,2.441667,45.384167
4/21/2022 9:00,2.4,51.2525
4/21/2022 10:00,2.4,55.975
4/21/2022 11:00,2.4,58.455833
4/21/2022 12:00,2.4,60.3775
4/21/2022 13:00,2.4,60.259167
4/21/2022 14:00,2.4,59.530833
4/21/2022 15:00,2.1,58.185
4/21/2022 16:00,1.8,55.591667
4/21/2022 17:00,2.083333,54.08
4/21/2022 18:00,3.258333,52.618333
4/21/2022 19:00,1.8,51.184167
4/21/2022 20:00,2,49.4575
4/21/2022 21:00,2.4,48.870833
4/21/2022 22:00,2.566667,47.781667
4/21/2022 23:00,2.9,46.179167
4/22/2022 0:00,3.5,45.733333
4/22/2022 1:00,4.65,44.399167
4/22/2022 2:00,5.65,43.543333
4/22/2022 3:00,6.475,43.520833
4/22/2022 4:00,35.45,42.819167
4/22/2022 5:00,52.9,42.9
4/22/2022 6:00,100,43.795833
4/22/2022 7:00,41.425,47.243333
4/22/2022 8:00,3.6,54.285833
4/22/2022 9:00,2.7,57.159167
4/22/2022 10:00,2.4,56.693333
4/22/2022 11:00,2.4,56.969167
4/22/2022 12:00,2.4,58.5025
4/22/2022 13:00,2.4,59.325
4/22/2022 14:00,2.4,60.75
4/22/2022 15:00,2.35,61.078333
4/22/2022 16:00,2.15,60.885833
4/22/2022 17:00,1.85,60.4425
4/22/2022 18:00,1.9,58.706667
4/22/2022 19:00,1.8,54.725833
4/22/2022 20:00,1.55,49.656667
4/22/2022 21:00,1.5,46.69
4/22/2022 22:00,1.45,45.155833
4/22/2022 23:00,1.4,43.105833
4/23/2022 0:00,1.65,42.139167
4/23/2022 1:00,1.8,40.8075
4/23/2022 2:00,1.8,39.45
4/23/2022 3:00,1.8,37.670833
4/23/2022 4:00,1.9,37.2725
4/23/2022 5:00,3.55,35.1625
4/23/2022 6:00,2.608333,36.4975
4/23/2022 7:00,2.4,42.515
4/23/2022 8:00,2.4,46.865
4/23/2022 9:00,2.4,51.560833
4/23/2022 10:00,2.4,54.171667
4/23/2022 11:00,2.35,55.649167
4/23/2022 12:00,2.35,58.5475
4/23/2022 13:00,2.3,61.301667
4/23/2022 14:00,2.2,62.494167
4/23/2022 15:00,2.1,62.355833
4/23/2022 16:00,1.85,62.191667
4/23/2022 17:00,1.8,61.5675
4/23/2022 18:00,1.8,58.5425
4/23/2022 19:00,1.45,55.361667
4/23/2022 20:00,1.5,54.08
4/23/2022 21:00,1.6,52.81
4/23/2022 22:00,1.65,51.635833
4/23/2022 23:00,11.633333,50.509167
4/24/2022 0:00,35.8,49.2575
4/24/2022 1:00,79.166667,46.891667
4/24/2022 2:00,5.375,47.755833
4/24/2022 3:00,2.25,47.760833
4/24/2022 4:00,1.8,47.105
4/24/2022 5:00,1.85,47.12
4/24/2022 6:00,1.3,46.306667
4/24/2022 7:00,1.3,46.651667
4/24/2022 8:00,1.2,47.345
4/24/2022 9:00,1.35,47.115833
4/24/2022 10:00,6.391667,46.500833
4/24/2022 11:00,16.966667,46.075
4/24/2022 12:00,1.85,48.865
4/24/2022 13:00,2,52.848333
4/24/2022 14:00,1.95,53.845833
4/24/2022 15:00,2,56.261667
4/24/2022 16:00,1.8,58.553333
4/24/2022 17:00,1.8,58.115833
4/24/2022 18:00,1.8,56.185833
4/24/2022 19:00,1.7,52.4075
4/24/2022 20:00,1.3,49.008333
4/24/2022 21:00,1.55,46.450833
4/24/2022 22:00,1.8,46.290833
4/24/2022 23:00,1.8,44.508333
4/25/2022 0:00,1.8,43.445833
4/25/2022 1:00,1.8,42.728333
4/25/2022 2:00,2.908333,39.52
4/25/2022 3:00,3.175,39.473333
4/25/2022 4:00,3,39.379167
4/25/2022 5:00,15.266667,39.175833
4/25/2022 6:00,100,40.085
4/25/2022 7:00,49.266667,41.954167
4/25/2022 8:00,3.65,45.855833
4/25/2022 9:00,2.65,50.216667
4/25/2022 10:00,2.4,55.689167
4/25/2022 11:00,2.4,59.675833
4/25/2022 12:00,2.4,62.205833
4/25/2022 13:00,2.4,63.6325
4/25/2022 14:00,2.3,65.816667
4/25/2022 15:00,2.05,67.24
4/25/2022 16:00,1.85,66.594167
4/25/2022 17:00,1.8,65.5375
4/25/2022 18:00,1.7,61.285
4/25/2022 19:00,1.2,56.8375
4/25/2022 20:00,1.2,55.26
4/25/2022 21:00,1.2,54.778333
4/25/2022 22:00,1.2,53.380833
4/25/2022 23:00,1.2,51.5125
4/26/2022 0:00,1.2,50.014167
4/26/2022 1:00,1.2,48.718333
4/26/2022 2:00,1.2,48.555833
4/26/2022 3:00,1.2,48.1175
4/26/2022 4:00,1.2,47.685833
4/26/2022 5:00,1.2,47.525
4/26/2022 6:00,1.25,47.673333
4/26/2022 7:00,1.4,48.309167
4/26/2022 8:00,1.8,49.614167
4/26/2022 9:00,1.95,50.045
4/26/2022 10:00,2.4,51.390833
4/26/2022 11:00,10.591667,51.325
4/26/2022 12:00,15.841667,50.9375
4/26/2022 13:00,32.408333,51.075
4/26/2022 14:00,100,51.241667
4/26/2022 15:00,100,51.319167
4/26/2022 16:00,100,50.994167
