index,rain,temp
4/18/2022 0:00,2.483333,34.521
4/18/2022 1:00,3.55,32.697
4/18/2022 2:00,9.683333,31.83
4/18/2022 3:00,8.783333,31.28
4/18/2022 4:00,22.766667,30.767
4/18/2022 5:00,23.575,30.008
4/18/2022 6:00,7.716667,29.994
4/18/2022 7:00,3.9,32.818
4/18/2022 8:00,2.691667,38.683
4/18/2022 9:00,2.4,43.143
4/18/2022 10:00,2.4,47.152
4/18/2022 11:00,2.4,51.93
4/18/2022 12:00,2.4,54.666
4/18/2022 13:00,2.35,56.477
4/18/2022 14:00,2,56.911
4/18/2022 15:00,1.8,56.726
4/18/2022 16:00,1.8,54.491
4/18/2022 17:00,1.8,51.32
4/18/2022 18:00,1.75,47.982
4/18/2022 19:00,1.55,45.877
4/18/2022 20:00,1.55,44.651
4/18/2022 21:00,1.3,43.576
4/18/2022 22:00,1.65,42.763
4/18/2022 23:00,1.8,42.707
4/19/2022 0:00,1.8,42.472
4/19/2022 1:00,46.291667,41.691
4/19/2022 2:00,100,38.897
4/19/2022 3:00,100,39.944
4/19/2022 4:00,100,40.516
4/19/2022 5:00,100,41.063
4/19/2022 6:00,100,42.958
4/19/2022 7:00,100,45.035
4/19/2022 8:00,100,47.254
4/19/2022 9:00,98.733333,49.464
4/19/2022 10:00,99.558333,46.627
4/19/2022 11:00,38.108333,43.702
4/19/2022 12:00,4.35,43.554
4/19/2022 13:00,17.958333,44.709
4/19/2022 14:00,6.591667,44.247
4/19/2022 15:00,28.033333,42.578
4/19/2022 16:00,3.15,43.177
4/19/2022 17:00,25.616667,41.386
4/19/2022 18:00,2.483333,42.712
4/19/2022 19:00,2.4,41.501
4/19/2022 20:00,2.4,40.958
4/19/2022 21:00,2.4,40.695
4/19/2022 22:00,2.4,40.519
4/19/2022 23:00,2.4,39.36
4/20/2022 0:00,2.4,38.389
4/20/2022 1:00,2.4,37.751
4/20/2022 2:00,2.4,38.333
4/20/2022 3:00,2.441667,38.832
4/20/2022 4:00,2.4,39.625
4/20/2022 5:00,2.4,39.84
4/20/2022 6:00,2.441667,39.922
4/20/2022 7:00,2.4,40.164
4/20/2022 8:00,2.4,41.45
4/20/2022 9:00,2.4,44.042
4/20/2022 10:00,2.3,45.72
4/20/2022 11:00,2.4,47.354
4/20/2022 12:00,2.35,48.185
4/20/2022 13:00,2.25,49.417
4/20/2022 14:00,2.3,51.089
4/20/2022 15:00,2,52.696
4/20/2022 16:00,1.8,53.14
4/20/2022 17:00,1.8,52.707
4/20/2022 18:00,1.8,51.654
4/20/2022 19:00,1.4,48.027
4/20/2022 20:00,1.2,44.868
4/20/2022 21:00,1.2,42.045
4/20/2022 22:00,1.35,41.551
4/20/2022 23:00,1.45,40.617
4/21/2022 0:00,1.6,38.55
