index,temp,rain
4/18/2022 0:00,34.58,1.8
4/18/2022 0:05,34.31,1.8
4/18/2022 0:10,34.39,1.8
4/18/2022 0:15,34.35,1.8
4/18/2022 0:20,34.35,1.8
4/18/2022 0:25,34.31,1.8
4/18/2022 0:30,34.58,1.8
4/18/2022 0:35,34.81,1.8
4/18/2022 0:40,34.54,1.8
4/18/2022 0:45,34.47,1.8
4/18/2022 0:50,34.58,1.8
4/18/2022 0:55,34.35,1.8
4/18/2022 1:00,34.2,1.8
4/18/2022 1:05,33.81,2.4
4/18/2022 1:10,33.15,2.9
4/18/2022 1:15,32.77,2.4
4/18/2022 1:20,32.57,2.9
4/18/2022 1:25,32.27,2.9
4/18/2022 1:30,31.53,7.6
4/18/2022 1:35,31.69,2.9
4/18/2022 1:40,31.92,2.9
4/18/2022 1:45,31.84,2.9
4/18/2022 1:50,32.3,2.4
4/18/2022 1:55,32.65,2.4
4/18/2022 2:00,33.19,2.4
4/18/2022 2:05,33.62,2.4
4/18/2022 2:10,33.15,2.4
4/18/2022 2:15,32.57,2.9
4/18/2022 2:20,31.69,2.9
4/18/2022 2:25,30.95,8.2
4/18/2022 2:30,30.22,10
4/18/2022 2:35,29.64,20
4/18/2022 2:40,29.02,64.1
4/18/2022 2:45,28.71,91.2
4/18/2022 2:50,29.02,84.7
4/18/2022 2:55,28.91,77.6
4/18/2022 3:00,29.22,72.9
4/18/2022 3:05,29.52,58.2
4/18/2022 3:10,29.45,28.8
4/18/2022 3:15,29.52,15.9
4/18/2022 3:20,29.68,15.3
4/18/2022 3:25,29.83,12.9
4/18/2022 3:30,29.95,27.6
4/18/2022 3:35,30.14,26.5
4/18/2022 3:40,30.72,7.6
4/18/2022 3:45,31.11,10
4/18/2022 3:50,31.07,30
4/18/2022 3:55,30.64,41.8
4/18/2022 4:00,30.68,20
4/18/2022 4:05,30.99,9.4
4/18/2022 4:10,30.61,52.9
4/18/2022 4:15,30.84,6.5
4/18/2022 4:20,30.99,5.3
4/18/2022 4:25,31.34,4.7
4/18/2022 4:30,31.18,4.7
4/18/2022 4:35,31.26,4.7
4/18/2022 4:40,31.57,4.1
4/18/2022 4:45,31.26,4.7
4/18/2022 4:50,30.88,7.1
4/18/2022 4:55,29.6,38.2
4/18/2022 5:00,28.87,76.5
4/18/2022 5:05,29.87,13.5
4/18/2022 5:10,29.56,48.2
4/18/2022 5:15,29.87,5.9
4/18/2022 5:20,30.8,4.7
4/18/2022 5:25,30.22,11.8
4/18/2022 5:30,28.75,87.1
4/18/2022 5:35,28.02,100
4/18/2022 5:40,27.52,100
4/18/2022 5:45,27.83,100
4/18/2022 5:50,28.64,100
4/18/2022 5:55,29.1,100
4/18/2022 6:00,29.14,77.1
