index,temp,rain
4/18/2022 0:00,34.66,4.7
4/18/2022 0:05,34.43,4.7
4/18/2022 0:10,34.23,5.3
4/18/2022 0:15,34.12,5.3
4/18/2022 0:20,34.5,4.7
4/18/2022 0:25,34.62,5.3
4/18/2022 0:30,34.7,5.3
4/18/2022 0:35,34.81,5.3
4/18/2022 0:40,34.66,5.3
4/18/2022 0:45,34.2,5.3
4/18/2022 0:50,34.27,5.3
4/18/2022 0:55,33.85,5.3
4/18/2022 1:00,32.96,5.3
4/18/2022 1:05,32.77,5.9
4/18/2022 1:10,32.69,5.3
4/18/2022 1:15,33.04,5.9
4/18/2022 1:20,32.46,5.9
4/18/2022 1:25,32.46,5.3
4/18/2022 1:30,32.96,5.9
4/18/2022 1:35,32.92,5.3
4/18/2022 1:40,32.73,5.9
4/18/2022 1:45,32.77,5.3
4/18/2022 1:50,32.46,5.9
4/18/2022 1:55,31.53,5.9
4/18/2022 2:00,31.53,5.9
4/18/2022 2:05,32.07,5.9
4/18/2022 2:10,32.23,5.9
4/18/2022 2:15,31.88,5.9
4/18/2022 2:20,32.19,5.9
4/18/2022 2:25,32.65,5.9
4/18/2022 2:30,31.69,6.5
4/18/2022 2:35,30.22,8.2
4/18/2022 2:40,29.95,7.1
4/18/2022 2:45,29.49,9.4
4/18/2022 2:50,29.41,8.8
4/18/2022 2:55,30.72,6.5
4/18/2022 3:00,31.3,5.9
4/18/2022 3:05,31.38,6.5
4/18/2022 3:10,31.22,6.5
4/18/2022 3:15,31.53,6.5
4/18/2022 3:20,31.72,6.5
4/18/2022 3:25,31.72,6.5
4/18/2022 3:30,31.84,6.5
4/18/2022 3:35,31.69,7.1
4/18/2022 3:40,31.45,7.6
4/18/2022 3:45,31.26,7.6
4/18/2022 3:50,31.03,8.2
4/18/2022 3:55,31.88,7.1
4/18/2022 4:00,32,6.5
4/18/2022 4:05,31.76,6.5
4/18/2022 4:10,31.57,7.1
4/18/2022 4:15,31.15,11.2
4/18/2022 4:20,30.84,8.2
4/18/2022 4:25,30.57,7.1
4/18/2022 4:30,30.88,7.1
4/18/2022 4:35,31.38,6.5
4/18/2022 4:40,31.38,7.1
4/18/2022 4:45,31.42,6.5
4/18/2022 4:50,30.91,7.1
4/18/2022 4:55,31.22,7.1
4/18/2022 5:00,31.11,7.1
4/18/2022 5:05,31.38,6.5
4/18/2022 5:10,31.61,6.5
4/18/2022 5:15,31.65,6.5
4/18/2022 5:20,31.18,6.5
4/18/2022 5:25,31.03,6.5
4/18/2022 5:30,30.57,7.6
4/18/2022 5:35,30.1,7.6
4/18/2022 5:40,28.98,10.6
4/18/2022 5:45,28.79,9.4
4/18/2022 5:50,28.87,10.6
4/18/2022 5:55,29.1,12.9
4/18/2022 6:00,29.29,7.6
4/18/2022 6:05,29.49,7.6
4/18/2022 6:10,29.76,7.6
4/18/2022 6:15,29.95,7.1
4/18/2022 6:20,30.03,6.5
4/18/2022 6:25,29.41,7.1
4/18/2022 6:30,29.64,7.1
4/18/2022 6:35,30.26,7.1
4/18/2022 6:40,30.45,7.1
4/18/2022 6:45,30.41,7.1
4/18/2022 6:50,30.72,7.1
4/18/2022 6:55,30.68,7.1
4/18/2022 7:00,30.61,7.1
4/18/2022 7:05,30.64,6.5
4/18/2022 7:10,31.11,6.5
4/18/2022 7:15,31.53,6.5
4/18/2022 7:20,32,5.9
4/18/2022 7:25,32.15,5.9
4/18/2022 7:30,32.61,5.9
4/18/2022 7:35,33.11,5.9
4/18/2022 7:40,33.31,5.9
4/18/2022 7:45,33.89,5.9
4/18/2022 7:50,34.54,5.9
4/18/2022 7:55,35.59,5.9
4/18/2022 8:00,35.86,5.9
4/18/2022 8:05,36.16,5.9
4/18/2022 8:10,36.13,5.9
4/18/2022 8:15,36.4,5.9
4/18/2022 8:20,37.55,5.9
4/18/2022 8:25,37.25,5.9
4/18/2022 8:30,38.56,5.9
4/18/2022 8:35,38.83,5.9
4/18/2022 8:40,39.41,5.9
4/18/2022 8:45,40.3,5.9
4/18/2022 8:50,40.3,5.3
4/18/2022 8:55,40.1,5.3
4/18/2022 9:00,40.76,5.3
4/18/2022 9:05,41.53,5.3
4/18/2022 9:10,42.65,5.3
4/18/2022 9:15,43.35,5.3
4/18/2022 9:20,42.73,5.3
4/18/2022 9:25,42.88,5.3
4/18/2022 9:30,43.58,5.3
4/18/2022 9:35,42.46,5.3
4/18/2022 9:40,43,5.3
4/18/2022 9:45,43.15,5.3
4/18/2022 9:50,43.62,5.3
4/18/2022 9:55,43.5,5.3
4/18/2022 10:00,43.85,5.3
4/18/2022 10:05,44.74,5.3
4/18/2022 10:10,45.08,5.3
4/18/2022 10:15,45.43,5.3
4/18/2022 10:20,46.47,5.3
4/18/2022 10:25,46.74,5.3
4/18/2022 10:30,47.59,5.3
