index,temp,rain
4/18/2022 0:00,34.91,1.2
4/18/2022 0:05,34.81,1.2
4/18/2022 0:10,34.66,1.2
4/18/2022 0:15,34.71,1.2
4/18/2022 0:20,35.15,1.2
4/18/2022 0:25,34.86,1.2
4/18/2022 0:30,34.91,1.2
4/18/2022 0:35,34.71,1.2
4/18/2022 0:40,34.71,1.2
4/18/2022 0:45,34.47,1.8
4/18/2022 0:50,34.37,1.8
4/18/2022 0:55,34.22,1.8
4/18/2022 1:00,33.78,1.8
4/18/2022 1:05,33.63,1.8
4/18/2022 1:10,34.03,1.8
4/18/2022 1:15,33.58,1.8
4/18/2022 1:20,33.04,1.8
4/18/2022 1:25,33.09,1.8
4/18/2022 1:30,32.99,1.8
4/18/2022 1:35,32.74,1.8
4/18/2022 1:40,33.04,1.8
4/18/2022 1:45,32.84,1.8
4/18/2022 1:50,32.34,1.8
4/18/2022 1:55,32.14,1.8
4/18/2022 2:00,33.39,1.8
4/18/2022 2:05,33.19,1.8
4/18/2022 2:10,33.19,1.8
4/18/2022 2:15,33.19,1.8
4/18/2022 2:20,33.09,1.8
4/18/2022 2:25,32.34,1.8
4/18/2022 2:30,31.79,1.8
4/18/2022 2:35,31.44,1.8
4/18/2022 2:40,31.34,1.8
4/18/2022 2:45,31.74,1.8
4/18/2022 2:50,32.09,1.8
4/18/2022 2:55,32.29,1.8
4/18/2022 3:00,31.79,1.8
4/18/2022 3:05,31.49,1.8
4/18/2022 3:10,31.64,1.8
4/18/2022 3:15,31.64,2.4
4/18/2022 3:20,31.34,2.4
4/18/2022 3:25,31.34,2.4
4/18/2022 3:30,31.04,2.9
4/18/2022 3:35,31.09,2.9
4/18/2022 3:40,30.94,3.5
4/18/2022 3:45,31.19,3.5
4/18/2022 3:50,31.39,2.9
4/18/2022 3:55,30.94,2.9
4/18/2022 4:00,30.83,2.9
4/18/2022 4:05,30.99,3.5
4/18/2022 4:10,30.48,5.9
4/18/2022 4:15,30.43,6.5
4/18/2022 4:20,30.22,5.3
4/18/2022 4:25,31.09,2.9
4/18/2022 4:30,31.29,2.9
4/18/2022 4:35,31.44,2.9
4/18/2022 4:40,31.29,2.9
4/18/2022 4:45,31.49,2.9
4/18/2022 4:50,31.64,2.4
4/18/2022 4:55,31.34,2.9
4/18/2022 5:00,31.69,2.4
4/18/2022 5:05,32.09,2.4
4/18/2022 5:10,32.04,2.4
4/18/2022 5:15,31.69,2.4
4/18/2022 5:20,31.19,2.4
4/18/2022 5:25,31.24,2.4
4/18/2022 5:30,31.04,2.9
4/18/2022 5:35,30.83,3.5
4/18/2022 5:40,29.41,3.5
4/18/2022 5:45,29.56,3.5
4/18/2022 5:50,29.35,11.8
4/18/2022 5:55,29.61,31.8
4/18/2022 6:00,30.38,3.5
4/18/2022 6:05,30.38,3.5
4/18/2022 6:10,30.73,2.9
4/18/2022 6:15,31.59,2.9
4/18/2022 6:20,31.14,2.9
4/18/2022 6:25,31.74,2.9
4/18/2022 6:30,30.88,2.9
4/18/2022 6:35,30.73,2.9
4/18/2022 6:40,30.63,2.9
4/18/2022 6:45,30.78,2.9
4/18/2022 6:50,30.53,2.9
4/18/2022 6:55,30.48,2.9
4/18/2022 7:00,30.43,2.9
4/18/2022 7:05,30.38,2.9
4/18/2022 7:10,30.48,2.9
4/18/2022 7:15,30.58,2.9
4/18/2022 7:20,30.94,2.9
4/18/2022 7:25,31.09,2.4
4/18/2022 7:30,31.24,2.9
4/18/2022 7:35,31.44,2.9
4/18/2022 7:40,32.49,2.9
4/18/2022 7:45,32.94,2.4
4/18/2022 7:50,33.58,2.4
4/18/2022 7:55,34.32,2.4
4/18/2022 8:00,34.91,2.4
4/18/2022 8:05,35.73,2.4
4/18/2022 8:10,36.94,2.4
4/18/2022 8:15,37.27,2.4
4/18/2022 8:20,38.75,2.4
4/18/2022 8:25,37.8,1.8
4/18/2022 8:30,38.42,2.4
4/18/2022 8:35,38.51,2.4
4/18/2022 8:40,39.27,2.4
4/18/2022 8:45,40.44,1.8
4/18/2022 8:50,40.49,1.8
4/18/2022 8:55,40.67,1.8
4/18/2022 9:00,42.2,1.8
4/18/2022 9:05,41.51,1.8
4/18/2022 9:10,42.66,1.8
4/18/2022 9:15,42.98,1.8
4/18/2022 9:20,43.85,1.8
4/18/2022 9:25,42.89,1.8
4/18/2022 9:30,42.85,1.8
4/18/2022 9:35,43.44,1.8
4/18/2022 9:40,43.67,1.8
4/18/2022 9:45,43.94,1.8
4/18/2022 9:50,44.13,1.8
4/18/2022 9:55,44.49,1.8
4/18/2022 10:00,44.08,1.8
4/18/2022 10:05,44.81,1.8
4/18/2022 10:10,44.99,1.8
4/18/2022 10:15,46.21,1.8
4/18/2022 10:20,46.53,1.8
4/18/2022 10:25,46.44,1.8
4/18/2022 10:30,47.87,1.8
4/18/2022 10:35,48.94,1.8
4/18/2022 10:40,49.74,1.8
4/18/2022 10:45,50.18,1.8
4/18/2022 10:50,48.89,1.8
4/18/2022 10:55,50.31,1.8
4/18/2022 11:00,50.8,1.8
4/18/2022 11:05,49.87,1.8
4/18/2022 11:10,50.71,1.8
4/18/2022 11:15,50.97,1.8
4/18/2022 11:20,51.55,1.8
4/18/2022 11:25,51.33,1.8
4/18/2022 11:30,50.75,1.8
4/18/2022 11:35,51.76,1.8
4/18/2022 11:40,52.64,1.8
4/18/2022 11:45,52.68,1.8
4/18/2022 11:50,52.9,1.8
4/18/2022 11:55,54.08,1.8
4/18/2022 12:00,52.51,1.8
4/18/2022 12:05,53.91,1.8
4/18/2022 12:10,53.25,1.8
4/18/2022 12:15,55.26,1.8
4/18/2022 12:20,55.34,1.8
4/18/2022 12:25,54.26,1.8
4/18/2022 12:30,55.86,1.8
4/18/2022 12:35,54.56,1.8
4/18/2022 12:40,55.26,1.8
4/18/2022 12:45,55.91,1.8
4/18/2022 12:50,55.86,1.8
4/18/2022 12:55,56.3,1.8
4/18/2022 13:00,56.64,1.8
4/18/2022 13:05,56.3,1.8
4/18/2022 13:10,56.34,1.8
4/18/2022 13:15,56.34,1.8
4/18/2022 13:20,56.47,1.8
4/18/2022 13:25,56.73,1.8
4/18/2022 13:30,56.77,1.8
4/18/2022 13:35,57.98,1.8
4/18/2022 13:40,56.94,1.8
4/18/2022 13:45,56.77,1.8
4/18/2022 13:50,57.42,1.8
4/18/2022 13:55,57.42,1.8
4/18/2022 14:00,57.33,1.8
4/18/2022 14:05,56.77,1.8
4/18/2022 14:10,57.42,1.8
4/18/2022 14:15,56.81,1.2
4/18/2022 14:20,56.56,1.2
4/18/2022 14:25,56.77,1.2
4/18/2022 14:30,56.43,1.2
4/18/2022 14:35,56.73,1.8
4/18/2022 14:40,56.64,1.2
4/18/2022 14:45,56.77,1.2
4/18/2022 14:50,57.03,1.2
4/18/2022 14:55,56.77,1.2
4/18/2022 15:00,58.37,1.8
4/18/2022 15:05,57.85,1.8
4/18/2022 15:10,58.37,1.8
4/18/2022 15:15,57.25,1.2
4/18/2022 15:20,56.64,1.2
4/18/2022 15:25,56.86,1.2
4/18/2022 15:30,57.12,1.2
4/18/2022 15:35,57.03,1.2
4/18/2022 15:40,57.07,1.2
4/18/2022 15:45,55.95,1.2
4/18/2022 15:50,56.08,1.2
4/18/2022 15:55,56.04,1.2
4/18/2022 16:00,55.52,1.2
4/18/2022 16:05,55.43,1.2
4/18/2022 16:10,55.47,1.2
4/18/2022 16:15,55.26,1.2
4/18/2022 16:20,55.21,1.2
4/18/2022 16:25,54.82,1.2
4/18/2022 16:30,54.3,1.2
4/18/2022 16:35,54.04,1.2
4/18/2022 16:40,53.91,1.2
4/18/2022 16:45,53.47,1.2
4/18/2022 16:50,52.68,1.2
4/18/2022 16:55,52.51,1.2
4/18/2022 17:00,52.16,1.2
4/18/2022 17:05,52.42,1.2
4/18/2022 17:10,52.47,1.2
4/18/2022 17:15,51.9,1.2
4/18/2022 17:20,51.76,1.2
4/18/2022 17:25,51.63,1.2
4/18/2022 17:30,51.28,1.2
4/18/2022 17:35,50.89,1.2
4/18/2022 17:40,50.62,1.2
4/18/2022 17:45,49.96,1.2
4/18/2022 17:50,49.74,1.2
4/18/2022 17:55,49.47,1.2
4/18/2022 18:00,49.29,1.2
4/18/2022 18:05,48.89,1.2
4/18/2022 18:10,48.45,1.2
4/18/2022 18:15,48.14,1.2
4/18/2022 18:20,48.05,1.2
4/18/2022 18:25,47.87,0.6
4/18/2022 18:30,47.69,1.2
4/18/2022 18:35,47.47,1.2
4/18/2022 18:40,47.24,0.6
4/18/2022 18:45,47.06,0.6
4/18/2022 18:50,46.57,1.2
4/18/2022 18:55,46.35,0.6
4/18/2022 19:00,46.26,1.2
4/18/2022 19:05,46.08,1.2
4/18/2022 19:10,45.94,1.2
4/18/2022 19:15,45.76,0.6
4/18/2022 19:20,45.53,1.2
4/18/2022 19:25,45.49,1.2
4/18/2022 19:30,45.4,1.2
4/18/2022 19:35,45.35,1.2
4/18/2022 19:40,45.31,0.6
4/18/2022 19:45,45.17,0.6
4/18/2022 19:50,44.99,0.6
4/18/2022 19:55,44.99,1.2
4/18/2022 20:00,44.85,1.2
4/18/2022 20:05,44.67,1.2
4/18/2022 20:10,44.67,1.2
4/18/2022 20:15,44.58,1.2
4/18/2022 20:20,44.49,1.2
4/18/2022 20:25,44.4,1.2
4/18/2022 20:30,44.08,0.6
4/18/2022 20:35,44.13,0.6
4/18/2022 20:40,43.99,0.6
4/18/2022 20:45,43.81,1.2
4/18/2022 20:50,43.72,1.2
4/18/2022 20:55,43.58,1.2
4/18/2022 21:00,43.49,1.2
4/18/2022 21:05,43.53,1.2
4/18/2022 21:10,43.44,1.2
4/18/2022 21:15,43.44,0.6
4/18/2022 21:20,43.35,0.6
4/18/2022 21:25,43.26,0.6
4/18/2022 21:30,43.08,0.6
4/18/2022 21:35,43.03,1.2
4/18/2022 21:40,42.94,0.6
4/18/2022 21:45,42.94,1.2
4/18/2022 21:50,42.89,1.2
4/18/2022 21:55,42.75,0.6
4/18/2022 22:00,42.62,0.6
4/18/2022 22:05,42.52,0.6
4/18/2022 22:10,42.39,1.2
4/18/2022 22:15,42.43,1.2
4/18/2022 22:20,42.43,1.2
4/18/2022 22:25,42.34,1.2
4/18/2022 22:30,42.29,1.2
4/18/2022 22:35,42.2,1.2
4/18/2022 22:40,42.2,1.2
4/18/2022 22:45,42.2,1.2
4/18/2022 22:50,42.16,1.2
4/18/2022 22:55,42.11,1.2
4/18/2022 23:00,42.25,1.2
4/18/2022 23:05,42.2,1.2
4/18/2022 23:10,42.16,1.2
4/18/2022 23:15,42.25,1.2
4/18/2022 23:20,42.25,1.2
4/18/2022 23:25,42.29,1.2
4/18/2022 23:30,42.25,1.2
4/18/2022 23:35,42.29,1.2
4/18/2022 23:40,42.25,1.2
4/18/2022 23:45,42.34,1.2
4/18/2022 23:50,42.25,1.2
4/18/2022 23:55,42.16,1.2
4/19/2022 0:00,42.11,1.2
4/19/2022 0:05,42.06,1.2
4/19/2022 0:10,42.02,1.2
4/19/2022 0:15,42.02,1.2
4/19/2022 0:20,42.06,1.2
4/19/2022 0:25,42.11,1.2
4/19/2022 0:30,42.16,1.2
4/19/2022 0:35,42.06,1.2
4/19/2022 0:40,42.06,1.2
4/19/2022 0:45,42.02,1.2
4/19/2022 0:50,42.02,1.2
4/19/2022 0:55,41.97,1.2
4/19/2022 1:00,42.02,1.2
4/19/2022 1:05,42.11,1.2
4/19/2022 1:10,41.97,1.2
4/19/2022 1:15,41.88,1.2
4/19/2022 1:20,41.97,1.2
4/19/2022 1:25,41.97,1.2
4/19/2022 1:30,41.88,33.5
4/19/2022 1:35,41.37,100
4/19/2022 1:40,40.53,100
4/19/2022 1:45,39.74,100
4/19/2022 1:50,39.22,100
4/19/2022 1:55,39.03,100
4/19/2022 2:00,38.79,100
4/19/2022 2:05,38.61,100
4/19/2022 2:10,38.61,100
4/19/2022 2:15,38.42,100
4/19/2022 2:20,38.32,100
4/19/2022 2:25,38.23,100
4/19/2022 2:30,38.32,100
4/19/2022 2:35,38.42,100
4/19/2022 2:40,38.46,100
4/19/2022 2:45,38.56,100
4/19/2022 2:50,38.7,100
4/19/2022 2:55,38.79,100
4/19/2022 3:00,38.89,100
4/19/2022 3:05,39.12,100
4/19/2022 3:10,39.22,100
4/19/2022 3:15,39.36,100
4/19/2022 3:20,39.5,100
4/19/2022 3:25,39.64,100
4/19/2022 3:30,39.69,100
4/19/2022 3:35,39.83,100
4/19/2022 3:40,39.92,100
4/19/2022 3:45,39.92,100
4/19/2022 3:50,40.02,100
4/19/2022 3:55,40.06,100
4/19/2022 4:00,40.11,100
4/19/2022 4:05,40.11,100
4/19/2022 4:10,40.16,100
4/19/2022 4:15,40.2,100
4/19/2022 4:20,40.16,100
4/19/2022 4:25,40.16,100
4/19/2022 4:30,40.16,100
4/19/2022 4:35,40.16,100
4/19/2022 4:40,40.16,100
4/19/2022 4:45,40.16,100
4/19/2022 4:50,40.16,100
4/19/2022 4:55,40.16,100
4/19/2022 5:00,40.2,100
4/19/2022 5:05,40.25,100
4/19/2022 5:10,40.3,100
4/19/2022 5:15,40.44,100
4/19/2022 5:20,40.53,100
4/19/2022 5:25,40.58,100
4/19/2022 5:30,40.63,100
4/19/2022 5:35,40.76,100
4/19/2022 5:40,40.9,100
4/19/2022 5:45,41.09,100
4/19/2022 5:50,41.23,100
4/19/2022 5:55,41.23,100
4/19/2022 6:00,41.46,100
4/19/2022 6:05,41.74,100
4/19/2022 6:10,41.92,100
4/19/2022 6:15,42.02,100
4/19/2022 6:20,42.2,100
4/19/2022 6:25,42.39,100
4/19/2022 6:30,42.66,100
4/19/2022 6:35,43.03,100
4/19/2022 6:40,43.12,100
4/19/2022 6:45,43.26,100
4/19/2022 6:50,43.53,100
4/19/2022 6:55,43.72,100
4/19/2022 7:00,43.94,100
4/19/2022 7:05,44.08,100
4/19/2022 7:10,44.22,100
4/19/2022 7:15,44.36,100
4/19/2022 7:20,44.49,100
4/19/2022 7:25,44.67,100
