index,temp,rain
4/18/2022 0:00,35.28,3.5
4/18/2022 0:05,34.93,4.1
4/18/2022 0:10,34.54,4.1
4/18/2022 0:15,34.93,4.1
4/18/2022 0:20,34.97,4.1
4/18/2022 0:25,34.66,4.1
4/18/2022 0:30,35.2,3.5
4/18/2022 0:35,35.08,4.1
4/18/2022 0:40,34.74,4.1
4/18/2022 0:45,34.66,4.1
4/18/2022 0:50,34.89,4.1
4/18/2022 0:55,34.39,4.1
4/18/2022 1:00,34.31,4.1
4/18/2022 1:05,34.08,4.1
4/18/2022 1:10,34.77,4.1
4/18/2022 1:15,34.08,4.1
4/18/2022 1:20,33.42,4.1
4/18/2022 1:25,33.69,4.1
4/18/2022 1:30,33.35,4.1
4/18/2022 1:35,33.35,4.1
4/18/2022 1:40,33.11,4.1
4/18/2022 1:45,33.31,4.1
4/18/2022 1:50,33,4.1
4/18/2022 1:55,33.23,4.1
4/18/2022 2:00,33.69,4.1
4/18/2022 2:05,33.54,4.1
4/18/2022 2:10,33.66,4.1
4/18/2022 2:15,33.62,4.1
4/18/2022 2:20,33.73,4.1
4/18/2022 2:25,32.73,4.1
4/18/2022 2:30,31.69,4.7
4/18/2022 2:35,30.68,4.7
4/18/2022 2:40,31.15,4.1
4/18/2022 2:45,31.69,4.7
4/18/2022 2:50,31.26,5.9
4/18/2022 2:55,31.88,4.7
4/18/2022 3:00,32.15,4.7
4/18/2022 3:05,31.84,4.7
4/18/2022 3:10,31.76,4.7
4/18/2022 3:15,32,4.7
4/18/2022 3:20,31.8,5.3
4/18/2022 3:25,31.61,5.9
4/18/2022 3:30,31.65,5.3
4/18/2022 3:35,31.61,5.9
4/18/2022 3:40,31.8,6.5
4/18/2022 3:45,32.03,6.5
4/18/2022 3:50,31.92,7.1
4/18/2022 3:55,31.8,6.5
4/18/2022 4:00,31.76,6.5
4/18/2022 4:05,31.07,15.9
4/18/2022 4:10,30.64,17.6
4/18/2022 4:15,30.88,8.8
4/18/2022 4:20,31.22,6.5
4/18/2022 4:25,31.18,5.9
4/18/2022 4:30,31.3,5.3
4/18/2022 4:35,31.8,5.3
4/18/2022 4:40,31.72,5.3
4/18/2022 4:45,31.49,5.3
4/18/2022 4:50,31.38,5.3
4/18/2022 4:55,31.96,5.3
4/18/2022 5:00,32.07,5.3
4/18/2022 5:05,32.46,4.7
4/18/2022 5:10,32.77,4.7
4/18/2022 5:15,32.34,4.7
4/18/2022 5:20,31.76,4.7
4/18/2022 5:25,32.27,4.7
4/18/2022 5:30,32.07,5.3
4/18/2022 5:35,30.72,5.9
4/18/2022 5:40,29.91,7.1
4/18/2022 5:45,29.76,6.5
4/18/2022 5:50,29.79,11.2
4/18/2022 5:55,29.45,24.1
4/18/2022 6:00,29.79,5.9
4/18/2022 6:05,30.84,5.9
4/18/2022 6:10,30.72,5.9
4/18/2022 6:15,30.84,5.3
4/18/2022 6:20,31.11,5.3
4/18/2022 6:25,30.95,5.3
4/18/2022 6:30,30.64,5.9
4/18/2022 6:35,30.8,5.9
4/18/2022 6:40,30.76,5.9
4/18/2022 6:45,30.53,5.9
4/18/2022 6:50,30.57,5.9
4/18/2022 6:55,30.57,4.7
4/18/2022 7:00,30.68,5.9
4/18/2022 7:05,30.88,5.3
4/18/2022 7:10,30.88,5.9
4/18/2022 7:15,31.15,5.3
4/18/2022 7:20,31.11,5.3
4/18/2022 7:25,31.11,5.3
4/18/2022 7:30,31.18,5.3
4/18/2022 7:35,31.45,5.9
4/18/2022 7:40,31.92,5.3
4/18/2022 7:45,32.42,5.3
4/18/2022 7:50,32.65,5.3
4/18/2022 7:55,32.69,5.3
4/18/2022 8:00,33.11,5.3
4/18/2022 8:05,33.66,5.3
4/18/2022 8:10,34.16,5.3
4/18/2022 8:15,34.31,5.3
4/18/2022 8:20,34.62,4.7
4/18/2022 8:25,35.08,4.7
4/18/2022 8:30,35.78,4.7
4/18/2022 8:35,36.74,4.7
4/18/2022 8:40,37.59,4.7
4/18/2022 8:45,38.64,4.7
4/18/2022 8:50,39.29,4.7
4/18/2022 8:55,40.06,4.7
4/18/2022 9:00,40.45,4.7
4/18/2022 9:05,41.15,4.7
4/18/2022 9:10,41.88,4.7
4/18/2022 9:15,42.07,4.7
4/18/2022 9:20,42.77,4.7
4/18/2022 9:25,42.3,4.1
4/18/2022 9:30,42.38,4.1
4/18/2022 9:35,42.54,4.1
4/18/2022 9:40,42.57,4.1
4/18/2022 9:45,43.27,4.1
4/18/2022 9:50,43.54,4.1
4/18/2022 9:55,43.04,4.1
4/18/2022 10:00,43.77,4.1
4/18/2022 10:05,43.27,4.1
4/18/2022 10:10,44.16,4.1
4/18/2022 10:15,45.01,4.1
4/18/2022 10:20,46.36,4.1
4/18/2022 10:25,46.78,4.1
4/18/2022 10:30,47.25,4.1
4/18/2022 10:35,49.37,4.1
4/18/2022 10:40,49.72,4.7
4/18/2022 10:45,50.76,4.7
4/18/2022 10:50,50.22,4.1
4/18/2022 10:55,49.83,4.1
4/18/2022 11:00,49.91,4.1
4/18/2022 11:05,50.84,4.1
4/18/2022 11:10,50.88,4.1
4/18/2022 11:15,49.6,4.1
4/18/2022 11:20,50.61,4.1
4/18/2022 11:25,50.88,4.1
4/18/2022 11:30,52.96,4.1
4/18/2022 11:35,52.3,4.1
4/18/2022 11:40,54.12,4.1
4/18/2022 11:45,53.81,4.1
4/18/2022 11:50,53.15,4.1
4/18/2022 11:55,54.62,4.1
4/18/2022 12:00,53.66,4.1
4/18/2022 12:05,53.77,4.1
4/18/2022 12:10,55.43,4.1
4/18/2022 12:15,55.78,4.1
4/18/2022 12:20,53.5,4.1
4/18/2022 12:25,55.59,4.1
4/18/2022 12:30,55.62,4.1
4/18/2022 12:35,54.62,4.1
4/18/2022 12:40,55.78,4.1
4/18/2022 12:45,55.51,4.1
4/18/2022 12:50,56.24,4.1
4/18/2022 12:55,57.32,4.1
4/18/2022 13:00,56.94,4.1
4/18/2022 13:05,56.17,4.1
4/18/2022 13:10,56.17,4.1
4/18/2022 13:15,56.51,4.1
4/18/2022 13:20,57.4,4.1
4/18/2022 13:25,55.89,4.1
4/18/2022 13:30,57.75,4.1
4/18/2022 13:35,58.13,4.1
4/18/2022 13:40,58.83,4.1
4/18/2022 13:45,58.17,4.1
4/18/2022 13:50,59.18,4.1
4/18/2022 13:55,59.02,4.1
4/18/2022 14:00,57.56,4.1
4/18/2022 14:05,58.17,4.1
4/18/2022 14:10,57.83,4.1
4/18/2022 14:15,59.33,4.1
4/18/2022 14:20,57.44,4.1
4/18/2022 14:25,57.67,4.1
4/18/2022 14:30,58.17,4.1
4/18/2022 14:35,58.06,4.1
4/18/2022 14:40,58.13,4.1
4/18/2022 14:45,57.94,4.1
4/18/2022 14:50,58.13,4.1
4/18/2022 14:55,58.29,4.1
4/18/2022 15:00,57.86,4.1
4/18/2022 15:05,59.22,4.1
4/18/2022 15:10,58.6,3.5
4/18/2022 15:15,57.63,4.1
4/18/2022 15:20,57.63,3.5
4/18/2022 15:25,57.86,3.5
4/18/2022 15:30,57.94,3.5
4/18/2022 15:35,58.13,3.5
4/18/2022 15:40,57.59,3.5
4/18/2022 15:45,57.48,3.5
4/18/2022 15:50,57.25,3.5
4/18/2022 15:55,56.55,3.5
4/18/2022 16:00,56.17,3.5
4/18/2022 16:05,56.09,3.5
4/18/2022 16:10,55.86,3.5
4/18/2022 16:15,55.47,3.5
4/18/2022 16:20,55.55,3.5
4/18/2022 16:25,55.2,3.5
4/18/2022 16:30,54.93,3.5
4/18/2022 16:35,54.47,3.5
4/18/2022 16:40,54.31,3.5
4/18/2022 16:45,53.54,3.5
4/18/2022 16:50,53.08,3.5
4/18/2022 16:55,52.92,3.5
4/18/2022 17:00,52.46,3.5
4/18/2022 17:05,52.73,3.5
4/18/2022 17:10,52.54,3.5
4/18/2022 17:15,52.03,3.5
4/18/2022 17:20,52.03,3.5
4/18/2022 17:25,51.76,3.5
4/18/2022 17:30,51.69,3.5
4/18/2022 17:35,51.38,3.5
4/18/2022 17:40,50.49,3.5
4/18/2022 17:45,50.03,3.5
4/18/2022 17:50,49.91,3.5
4/18/2022 17:55,49.68,3.5
4/18/2022 18:00,49.52,3.5
4/18/2022 18:05,49.29,3.5
4/18/2022 18:10,48.6,3.5
4/18/2022 18:15,48.17,3.5
4/18/2022 18:20,48.02,2.9
4/18/2022 18:25,47.86,3.5
4/18/2022 18:30,47.52,3.5
4/18/2022 18:35,47.4,2.9
4/18/2022 18:40,47.28,3.5
4/18/2022 18:45,46.86,3.5
4/18/2022 18:50,46.36,3.5
4/18/2022 18:55,46.17,3.5
4/18/2022 19:00,45.97,2.9
4/18/2022 19:05,45.89,2.9
4/18/2022 19:10,45.66,2.9
4/18/2022 19:15,45.59,2.9
4/18/2022 19:20,45.43,2.9
4/18/2022 19:25,45.32,3.5
4/18/2022 19:30,45.2,3.5
4/18/2022 19:35,45.01,3.5
4/18/2022 19:40,44.89,2.9
4/18/2022 19:45,44.78,2.9
4/18/2022 19:50,44.62,3.5
4/18/2022 19:55,44.54,3.5
4/18/2022 20:00,44.54,3.5
4/18/2022 20:05,44.47,3.5
4/18/2022 20:10,44.39,3.5
4/18/2022 20:15,44.35,3.5
4/18/2022 20:20,44.12,3.5
4/18/2022 20:25,44,3.5
4/18/2022 20:30,43.96,2.9
4/18/2022 20:35,43.89,3.5
4/18/2022 20:40,43.58,2.9
