"Plot Title: OrchardWatch-North"
"#","Date Time, GMT-04:00","south_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South)","a11_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","a11_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","a16_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","a16_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","south_temp, °F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South air @ 6 feet)","south_g_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","south_g_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","south_y_temp, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)","south_y_wet, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)","north_temp, °F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North air)","north_e_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-air)","north_e_leaf, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-leaf)","north_m_wet, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-leaf)","north_m_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-air)","north_wet, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North OW-N leaf)","north_x_temp, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-air)","north_x_leaf, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-leaf)"
1,04/18/22 12:00:00 AM,2.483333,5.383333,33.129167,34.468333,1.800000,34.521,34.855833,4.000000,33.836667,4.000000,34.707,34.420833,5.150000,1.200000,34.630000,1.350000,32.710833,2.733333
2,04/18/22 01:00:00 AM,3.550000,11.875000,31.910833,32.558333,3.033333,32.697,33.641667,4.100000,31.836667,4.600000,33.103,32.645833,5.650000,1.400000,33.173333,1.800000,31.746667,3.800000
3,04/18/22 02:00:00 AM,9.683333,7.366667,30.817500,30.890833,30.733333,31.830,32.443333,4.450000,30.358333,25.558333,32.423,31.169167,6.825000,1.800000,31.979167,1.800000,30.300000,5.825000
4,04/18/22 03:00:00 AM,8.783333,9.600000,31.129167,30.070833,28.958333,31.280,31.830833,5.650000,29.589167,40.058333,31.319,31.501667,6.875000,2.000000,31.891667,2.600000,30.022500,6.266667
5,04/18/22 04:00:00 AM,22.766667,16.966667,30.437500,30.933333,13.525000,30.767,31.366667,7.750000,29.835833,62.008333,31.044,31.256667,7.333333,2.350000,31.125833,3.658333,29.836667,10.650000
6,04/18/22 05:00:00 AM,23.575000,28.425000,29.397500,29.087500,62.308333,30.008,31.280833,7.408333,27.806667,100.000000,30.812,30.364167,8.191667,2.300000,30.980833,5.950000,28.797500,31.716667
7,04/18/22 06:00:00 AM,7.716667,12.650000,29.790000,28.616667,70.491667,29.994,30.676667,5.650000,27.980833,99.116667,30.832,30.007500,7.175000,2.400000,31.232500,3.000000,28.660000,6.675000
8,04/18/22 07:00:00 AM,3.900000,5.500000,34.291667,32.799167,3.400000,32.818,31.510000,5.450000,33.574167,6.283333,31.659,32.590833,6.150000,2.400000,31.161667,2.733333,33.314167,3.650000
9,04/18/22 08:00:00 AM,2.691667,4.700000,40.230000,38.635833,2.200000,38.683,36.086667,4.900000,38.850000,4.450000,38.267,38.070833,5.800000,1.950000,35.705000,2.200000,39.138333,2.816667
10,04/18/22 09:00:00 AM,2.400000,4.750000,46.393333,42.878333,1.900000,43.143,42.330000,4.350000,44.000000,4.100000,43.218,42.767500,5.300000,1.750000,43.000833,1.800000,45.550833,2.400000
