date ,w _a,t_a,w_b,t_b,w_c,t_c
05/01/22 12:00:00 AM,4.1,53.89,0,51.07,1.2,51.92
05/01/22 12:05:00 AM,4.1,53.23,0,50.41,1.2,51.3
05/01/22 12:10:00 AM,3.5,52.92,0,50.1,1.2,50.8
05/01/22 12:15:00 AM,3.5,52.3,0,49.79,1.2,50.76
05/01/22 12:20:00 AM,4.1,52.23,0,49.49,0.6,50.33
05/01/22 12:25:00 AM,3.5,51.57,0,49.18,1.2,50.18
05/01/22 12:30:00 AM,3.5,50.95,0,49.18,0.6,49.37
05/01/22 12:35:00 AM,3.5,50.33,0,49.41,0.6,49.18
05/01/22 12:40:00 AM,3.5,51.22,0,49.37,1.2,49.06
05/01/22 12:45:00 AM,3.5,51.15,0,49.22,0.6,48.87
05/01/22 12:50:00 AM,3.5,51.38,0,49.06,0.6,48.56
05/01/22 12:55:00 AM,4.1,50.72,0,49.02,1.2,48.64
05/01/22 01:00:00 AM,3.5,51.45,0,48.98,1.2,48.91
05/01/22 01:05:00 AM,3.5,51.42,0,48.83,0.6,48.71
05/01/22 01:10:00 AM,4.1,50.8,0,48.44,0.6,49.06
05/01/22 01:15:00 AM,3.5,50.49,0,48.33,1.2,48.94
05/01/22 01:20:00 AM,3.5,49.95,0,48.75,1.2,48.75
05/01/22 01:25:00 AM,3.5,49.83,0,49.25,0.6,48.6
05/01/22 01:30:00 AM,3.5,49.68,0,48.91,0.6,48.33
05/01/22 01:35:00 AM,3.5,49.41,0,48.79,1.2,48.06
05/01/22 01:40:00 AM,3.5,49.64,0,48.83,1.2,48.29
05/01/22 01:45:00 AM,3.5,49.41,0,48.6,1.2,48.37
05/01/22 01:50:00 AM,3.5,49.45,0,48.71,0.6,48.1
05/01/22 01:55:00 AM,4.1,49.41,0,48.79,1.2,47.94
05/01/22 02:00:00 AM,3.5,49.49,0,48.56,0.6,47.67
05/01/22 02:05:00 AM,3.5,48.98,0,48.4,1.2,47.28
05/01/22 02:10:00 AM,4.1,48.67,0,48.21,0.6,47.17
05/01/22 02:15:00 AM,3.5,48.29,0,47.9,0.6,47.05
05/01/22 02:20:00 AM,3.5,47.94,0,47.44,0.6,46.98
05/01/22 02:25:00 AM,3.5,48.06,0,47.44,1.2,46.9
05/01/22 02:30:00 AM,3.5,47.9,0,47.48,1.2,46.74
05/01/22 02:35:00 AM,3.5,48.1,0,47.52,0.6,46.51
05/01/22 02:40:00 AM,4.1,47.75,0,47.21,1.2,46.28
05/01/22 02:45:00 AM,4.1,47.67,0,46.86,0.6,46.09
05/01/22 02:50:00 AM,3.5,47.09,0,46.74,1.2,45.74
05/01/22 02:55:00 AM,3.5,46.67,0,46.94,1.2,45.28
05/01/22 03:00:00 AM,3.5,45.97,0,47.21,0.6,45.01
05/01/22 03:05:00 AM,3.5,45.39,0,46.74,0.6,44.81
05/01/22 03:10:00 AM,3.5,45.55,0,46.01,1.2,44.74
05/01/22 03:15:00 AM,3.5,45.62,0,45.24,0.6,44.93
05/01/22 03:20:00 AM,3.5,45.08,0,44.54,0.6,44.5
05/01/22 03:25:00 AM,3.5,45.08,0,44.16,0.6,44.08
05/01/22 03:30:00 AM,3.5,45.39,0,44.12,0.6,43.39
05/01/22 03:35:00 AM,3.5,45.2,0,44.35,1.2,43.08
05/01/22 03:40:00 AM,3.5,44.78,0,44.62,1.2,43
05/01/22 03:45:00 AM,3.5,45.28,0,44.89,1.2,43.04
05/01/22 03:50:00 AM,3.5,45.86,0,44.74,1.2,43.27
05/01/22 03:55:00 AM,3.5,45.39,0,44.62,1.2,43.5
05/01/22 04:00:00 AM,3.5,45.01,0,44.78,1.2,43.23
05/01/22 04:05:00 AM,3.5,45.08,0,45.24,0.6,43.04
05/01/22 04:10:00 AM,3.5,44.93,0,45.08,1.2,42.73
05/01/22 04:15:00 AM,3.5,44.74,0,44.93,1.2,42.61
05/01/22 04:20:00 AM,3.5,44.66,0,45.59,1.2,42.38
05/01/22 04:25:00 AM,3.5,44.43,0,45.08,0.6,42.46
05/01/22 04:30:00 AM,3.5,43.85,0,45.05,0.6,42.27
05/01/22 04:35:00 AM,3.5,43.5,0,44.89,0.6,41.88
05/01/22 04:40:00 AM,3.5,43,0,44.2,1.2,41.88
05/01/22 04:45:00 AM,3.5,43.62,0,43.5,1.2,42.15
05/01/22 04:50:00 AM,3.5,44.23,0,42.92,1.2,42.27
05/01/22 04:55:00 AM,3.5,44.08,0,42.92,1.2,41.96
05/01/22 05:00:00 AM,3.5,43.46,0,43.73,1.2,42
05/01/22 05:05:00 AM,3.5,43.58,0,43.35,1.2,42.54
05/01/22 05:10:00 AM,4.1,44.16,0,43.08,1.2,42.54
05/01/22 05:15:00 AM,3.5,44.62,0,42.92,1.2,42.23
05/01/22 05:20:00 AM,4.1,45.12,0,42.92,1.2,42.19
05/01/22 05:25:00 AM,3.5,45.08,0,42.81,1.2,41.92
05/01/22 05:30:00 AM,4.1,44.7,0,43.04,1.2,41.76
05/01/22 05:35:00 AM,4.1,44.43,0,43.11,1.2,41.61
05/01/22 05:40:00 AM,4.1,44.39,0,43.19,1.2,41.53
05/01/22 05:45:00 AM,3.5,44.35,0,43.39,1.2,41.72
05/01/22 05:50:00 AM,3.5,43.93,0,43.23,1.2,42.54
05/01/22 05:55:00 AM,3.5,43.62,0,42.81,1.2,42.61
05/01/22 06:00:00 AM,3.5,43.08,0,42.65,1.2,42.34
05/01/22 06:05:00 AM,4.1,42.61,0,42.23,1.2,41.88
